4350111	2	3.929740
7947100	13	3.399474
7091501	8	3.904362
3530265	2	4.284378
1357853	13	4.224743
9882598	16	3.661365
3496900	12	4.488353
1173773	14	6.365686
8365440	6	3.775326
4541628	12	6.570990
2576077	6	6.902849
1542959	11	5.106280
3148022	13	7.020968
2515926	2	4.808606
5081098	8	6.602677
4535895	8	4.961742
9226853	14	3.857409
7813832	16	6.195065
5388474	7	5.263585
7632148	8	4.578925
8557679	6	3.759326
58762	8	6.348655
769653	13	5.858021
6296377	8	5.545939
4238402	6	6.191144
763290	7	6.381047
3906135	2	4.271906
3977631	2	4.927957
6836076	12	3.856312
7658047	11	4.769668
6573753	5	5.788090
3581299	2	4.287837
2627588	15	3.476780
7304484	12	5.856369
1332843	10	5.404685
8466413	7	6.883114
8878758	6	4.198261
3849649	2	4.640134
769250	7	3.824304
4471404	1	3.500020
9054629	5	6.186728
2374429	5	3.665872
8497487	7	4.867343
6736797	14	6.056841
3978988	16	6.711188
6390251	6	4.581401
7561895	14	4.872181
7358914	1	3.504727
5335098	10	3.257289
5424102	6	6.766633
9770864	2	3.470793
3196409	0	4.812308
1587195	12	3.768222
7355680	5	4.575083
5278379	12	5.291580
1346269	6	4.695286
1879468	9	3.809322
6039889	0	4.895346
1679364	7	3.636877
7410791	14	4.713482
2678478	8	5.968240
774941	6	4.999029
7097548	5	5.374639
8467861	13	6.201970
1183463	16	6.281457
9966367	15	5.921651
4046690	0	4.514384
3975688	3	6.656263
5795054	1	6.563593
3617296	11	3.807926
6953199	1	3.844267
5282316	12	5.975266
539259	12	6.870465
1697140	1	4.610700
4700228	5	5.558431
8659178	12	3.759179
8836578	2	3.933630
564595	11	5.606435
1719711	1	6.695922
4250437	6	5.818730
6202062	5	6.225089
6210120	16	6.299239
5942191	4	3.563512
2821999	10	3.502093
7065262	5	3.977961
8896757	11	5.146581
2389328	6	6.621003
1514636	7	3.380776
3897699	3	5.271861
7258387	10	6.238915
1290472	14	6.045672
9941696	3	3.278517
999536	7	6.220913
4616941	5	3.301075
7593666	9	5.521905
5610355	2	4.286761
6237430	1	4.280283
2188584	13	3.960233
1137905	4	3.216860
9678938	7	6.857213
